Batch,Site,Start URL,Accessibility,CMS platform,Pagination type,Page link pattern,Article link pattern,Microdata format(s),Microdata metadata field(s),Inline metadata pattern(s)
1,conservativehq.com,conservativehq.com/exclusives,UK,Unknown,Link,http://conservativehq.com/exclusives?page=<page_number>,http://conservativehq.com/article/<article_slug>,None,,N/A
1,federalistpress.com,federalistpress.com/category/all-stories,UK,Wordpress,Link,http://federalistpress.com/category/all-stories/page/<page_number>,"<a class=""entry-title-link"" rel=""bookmark"" href=""<link_to_article>"">",Open graph,og:title | article:published_time (ISO) | article:_modified_time (ISO),"<div class=""post-info""><span class=""date published time"" time=""YYYY-mm-ddTHH:MM:SS+HH:MM"">mmmm DD, YYYY</span><span class=""author vcard""><span class=""fn""><a href=""<author_profile_link>"" rel=""author"">Author name</a></span</span></div> | <div class=""post-meta""><span class=""categories""><a href=""<link_to_category>"" rel=""category tag""><category_name></a></span></div>"
1,liveaction.org,liveaction.org/news/latest-stories/,,,,,,,,
1,palmerreport.com,palmerreport.com/category/analysis/,,,,,,,,
1,patriotnewsdaily.com,patriotnewsdaily.com/category/all-conservative-news/,,,,,,,,
1,redstatewatcher.com,redstatewatcher.com/news.asp,,,,,,,,
1,westernjournal.com,westernjournal.com/politics/,,,,,,,,
1,youngcons.com,youngcons.com/category/politics/,,,,,,,,
1,addictinginfo.com,addictinginfo.com/category/news/,,,,,,,,
1,liberalamerica.life,liberalamerica.life/category/news/,,,,,,,,
1,notallowedto.com,notallowedto.com/news/,,,,,,,,
1,occupydemocrats.com,occupydemocrats.com,,,,,,,,
1,davidwolfe.com,davidwolfe.com/category/news/,,,,,,,,
1,eyeopening.info,eyeopening.info/category/politics,,,,,,,,
1,globalresearch.ca,globalresearch.ca/latest-news-and-top-stories,,,,,,,,
1,henrymakow.com,henrymakow.com/archives.html,,,,,,,,
1,infowars.com,infowars.com/category/us-news/,,,,,,,,
1,gellerreport.com,gellerreport.com/category/atlas-articles/,,,,,,,,
1,prisonplanet.com,prisonplanet.com/section/featured-stories,,,,,,,,
1,cap-news.com,cap-news.com/section.php?id=politics,,,,,,,,
1,empirenews.net,empirenews.net/category/politics/,,,,,,,,
1,ladylibertysnews.com,ladylibertysnews.com/category/news/,,,,,,,,
1,madworldnews.com,madworldnews.com/politics/,,,,,,,,
1,newsbreakshere.com,newsbreakshere.com/category/politics,,,,,,,,
1,realnewsrightnow.com,realnewsrightnow.com/politics/,,,,,,,,
1,usasupreme.com,usasupreme.com/category/politics/,,,,,,,,
1,weeklyworldnews.com,weeklyworldnews.com/category/politics/,,,,,,,,
1,barenakedislam.com,barenakedislam.com,,,,,,,,
1,centerforsecuritypolicy.org,centerforsecuritypolicy.org/#articles,,,,,,,,
1,nationalvanguard.org,nationalvanguard.org,,,,,,,,
1,themuslimissue.wordpress.com,themuslimissue.wordpress.com,,,,,,,,
1,alternet.org,alternet.org,,,,,,,,
1,breitbart.com,breitbart.com,,,,,,,,
1,dailycaller.com,dailycaller.com/section/politics/,,,,,,,,
1,dailykos.com,dailykos.com,,,,,,,,
1,drudgereport.com,drudgereport.com,,,,,,,,
1,judicialwatch.org,judicialwatch.org/blog/,,,,,,,,
1,thinkprogress.org,thinkprogress.org,,,,,,,,
1,christianpost.com,christianpost.com/politics/,,,,,,,,
1,disclose.tv,disclose.tv/d/politics,,,,,,,,
1,islamicanews.com,islamicanews.com/category/politics/,,,,,,,,
1,satirewire.com,satirewire.com/content1/?cat=13,,,,,,,,
1,scrappleface.com,scrappleface.com/blog/category/politics/,,,,,,,,
1,rt.com,rt.com/usa/,,,,,,,,
1,ifyouonlynews.com,ifyouonlynews.com/category/politics/,,,,,,,,
1,madpatriots.com,madpatriots.com/category/news/,,,,,,,,
1,madworldnews.com,madworldnews.com/politics/,,,,,,,,
1,veteransnewsreport.com,veteransnewsreport.com/category/government-and-politics/,,,,,,,,
1,washingtonpost.com,washingtonpost.com/politics,,,,,,,,
1,nytimes.com,nytimes.com/section/politics,,,,,,,,
1,abcnews.go.com,abcnews.go.com/Politics,,,,,,,,
1,nbcnews.com,nbcnews.com/politics,,,,,,,,
1,vox.com,vox.com/policy-and-politics,,,,,,,,
1,foxnews.com,foxnews.com/politics.html,,,,,,,,
